From	To
Q13177	PAK2
Q9BQI3	EIF2AK1
Q05655	PRKCD
Q9P1W9	PIM2
Q9UQM7	CAMK2A
P68400	CSNK2A1
O14965	AURKA
P35269	GTF2F1
O95835	LATS1
P09619	PDGFRB
Q99986	VRK1
P22455	FGFR4
P50613	CDK7
P00533	EGFR
Q15208	STK38
Q9UGJ0	PRKAG2
P06241	FYN
Q13131	PRKAA1
Q9NYV4	CDK12
Q16566	CAMK4
P54646	PRKAA2
Q9Y2H1	STK38L
P49674	CSNK1E
P49137	MAPKAPK2
Q14012	CAMK1
P23443	RPS6KB1
P07947	YES1
P31749	AKT1
P48736	PIK3CG
Q9UHD2	TBK1
Q02763	TEK
O94806	PRKD3
P07333	CSF1R
P05771	PRKCB
P43405	SYK
Q9UEW8	STK39
P07948	LYN
P41743	PRKCI
P51617	IRAK1
O76039	CDKL5
Q15759	MAPK11
Q15303	ERBB4
Q9BXM7	PINK1
P04049	RAF1
P15531	NME1
P21127	CDK11B
P49841	GSK3B
P43250	GRK6
P27448	MARK3
P78368	CSNK1G2
P31751	AKT2
Q04759	PRKCQ
P09769	FGR
P22694	PRKACB
Q9HCP0	CSNK1G1
Q15831	STK11
Q13163	MAP2K5
Q15418	RPS6KA1
O14757	CHEK1
P17612	PRKACA
Q9P0L2	MARK1
P27361	MAPK3
Q9Y572	RIPK3
Q92918	MAP4K1
P29323	EPHB2
Q8N5S9	CAMKK1
Q9UQ88	CDK11A
P48730	CSNK1D
Q99759	MAP3K3
Q9BUB5	MKNK1
P11021	HSPA5
Q16654	PDK4
O00444	PLK4
O14578	CIT
Q9UQB9	AURKC
O14733	MAP2K7
P42685	FRK
O00329	PIK3CD
O75716	STK16
Q00536	CDK16
P04626	ERBB2
Q5VT25	CDC42BPA
O95747	OXSR1
P12931	SRC
P42338	PIK3CB
Q00526	CDK3
Q9Y3S1	WNK2
Q16620	NTRK2
O75676	RPS6KA4
Q13418	ILK
P34947	GRK5
Q15569	TESK1
P43403	ZAP70
P11274	BCR
Q99640	PKMYT1
Q8TDX7	NEK7
O14976	GAK
O43781	DYRK3
P42681	TXK
O00238	BMPR1B
Q02156	PRKCE
P29597	TYK2
Q14289	PTK2B
Q9UBS0	RPS6KB2
Q8TAS1	UHMK1
Q13882	PTK6
O75385	ULK1
P45984	MAPK9
P42680	TEC
Q9UKI8	TLK1
P06493	CDK1
Q13976	PRKG1
Q8IVT5	KSR1
O96013	PAK4
Q7KZI7	MARK2
Q9H1R3	MYLK2
Q8IW41	MAPKAPK5
P00519	ABL1
P48729	CSNK1A1
O96017	CHEK2
Q13557	CAMK2D
P17252	PRKCA
O00506	STK25
P17948	FLT1
Q9BYP7	WNK3
O43353	RIPK2
P08069	IGF1R
Q02779	MAP3K10
Q09013	DMPK
P37173	TGFBR2
Q9H2X6	HIPK2
Q38SD2	LRRK1
P49759	CLK1
Q8IWQ3	BRSK2
P16591	FER
Q15131	CDK10
P78527	PRKDC
Q9Y2I7	PIKFYVE
O14730	RIOK3
Q12852	MAP3K12
Q16512	PKN1
Q96Q15	SMG1
O95382	MAP3K6
P53355	DAPK1
Q15139	PRKD1
O43318	MAP3K7
P10721	KIT
P19525	EIF2AK2
P29317	EPHA2
P08581	MET
Q9H0K1	SIK2
Q8WTQ7	GRK7
P46020	PHKA1
Q6PHR2	ULK3
Q16513	PKN2
P49760	CLK2
O00141	SGK1
P23458	JAK1
P21675	TAF1
Q96GX5	MASTL
P42345	MTOR
O00311	CDC7
P45983	MAPK8
Q16644	MAPKAPK3
P51813	BMX
Q9NYY3	PLK2
P10398	ARAF
P28482	MAPK1
Q9Y463	DYRK1B
Q9HBH9	MKNK2
Q86V86	PIM3
P06239	LCK
Q04912	MST1R
Q14164	IKBKE
Q06187	BTK
P53778	MAPK12
P45985	MAP2K4
Q9HAZ1	CLK4
O15530	PDPK1
Q99683	MAP3K5
P11802	CDK4
Q96NX5	CAMK1G
P35968	KDR
P19784	CSNK2A2
P37023	ACVRL1
Q5S007	LRRK2
P57059	SIK1
Q16539	MAPK14
Q2M2I8	AAK1
Q96J92	WNK4
P07332	FES
O15111	CHUK
P24941	CDK2
Q9UBE8	NLK
O14638	ENPP3
O00418	EEF2K
P07949	RET
O94921	CDK14
P49840	GSK3A
Q15119	PDK2
Q6SA08	TSSK4
P53671	LIMK2
Q13627	DYRK1A
Q86Z02	HIPK1
P11362	FGFR1
P51956	NEK3
Q8NG66	NEK11
P53350	PLK1
P00558	PGK1
O60674	JAK2
Q14680	MELK
P36897	TGFBR1
Q9UIK4	DAPK2
P24723	PRKCH
Q9BWU1	CDK19
Q00535	CDK5
P22392	NME2
Q6P2M8	PNCK
Q13554	CAMK2B
Q9P286	PAK5
Q9BZL6	PRKD2
P36896	ACVR1B
O14936	CASK
P22607	FGFR3
Q86UE8	TLK2
P41240	CSK
P52564	MAP2K6
Q9P2K8	EIF2AK4
P42679	MATK
Q86Y07	VRK2
Q13464	ROCK1
Q9Y5P4	CERT1
Q13237	PRKG2
P50750	CDK9
Q02750	MAP2K1
Q13153	PAK1
P32298	GRK4
P46734	MAP2K3
Q00534	CDK6
P49336	CDK8
Q05397	PTK2
P54753	EPHB3
Q06418	TYRO3
P16234	PDGFRA
P25098	GRK2
Q9Y2U5	MAP3K2
Q9Y478	PRKAB1
P36507	MAP2K2
P52333	JAK3
Q8IWU2	LMTK2
Q08881	ITK
Q13164	MAPK7
P11309	PIM1
Q13523	PRPF4B
P42336	PIK3CA
Q9HC98	NEK6
Q13546	RIPK1
Q9UPZ9	CILK1
Q9Y6E0	STK24
Q92630	DYRK2
O43683	BUB1
Q13188	STK3
P14618	PKM
P53004	BLVRA
Q13535	ATR
O94804	STK10
P42684	ABL2
P53667	LIMK1
P08631	HCK
Q16584	MAP3K11
Q15120	PDK3
O75116	ROCK2
O75914	PAK3
Q99558	MAP3K14
Q96QT4	TRPM7
Q12866	MERTK
Q9NQU5	PAK6
Q9BX84	TRPM6
Q9H4A3	WNK1
P06213	INSR
P41279	MAP3K8
P51812	RPS6KA3
Q9H093	NUAK2
Q9NRM7	LATS2
Q96RR4	CAMKK2
O95819	MAP4K4
P67870	CSNK2B
O75460	ERN1
Q96BR1	SGK3
Q13315	ATM
P35626	GRK3
P04629	NTRK1
Q6P5Z2	PKN3
O15264	MAPK13
Q8NEV4	MYO3A
P33981	TTK
Q15835	GRK1
Q8N752	CSNK1A1L
Q12851	MAP4K2
Q9P289	STK26
Q9H3Y6	SRMS
Q8TDC3	BRSK1
O14920	IKBKB
Q15349	RPS6KA2
Q96GD4	AURKB
Q8IXL6	FAM20C
P51451	BLK
O60885	BRD4
O14874	BCKDK
P51955	NEK2
Q13043	STK4
P00540	MOS
Q05513	PRKCZ
Q8IVH8	MAP4K3
P54764	EPHA4
P78362	SRPK2
P51817	PRKX
Q16659	MAPK6
Q13555	CAMK2G
Q15118	PDK1
Q96RG2	PASK
Q96KB5	PBK
